table_name,source_column,source_id,rows
basin_attributes_curated.csv,source_id,hydrobasins_standard_full;basinatlas_global_gdb;riveratlas_global_gdb,240
basin_attributes_curated_wide.csv,,no_source_column,6
basin_context_gold.csv,source_id,hydrobasins_standard_full;basinatlas_global_gdb;riveratlas_global_gdb,6
daily_discharge_gold.csv,source_id,arcticgro_discharge_current,154370
daily_hydroclimate_gold.csv,source_id_temperature,,1041
daily_hydroclimate_gold.csv,source_id_temperature,gee_era5_land,47485
daily_hydroclimate_gold.csv,source_id_temperature,old_arctic_doc_snowmelt_untrained_data,4200
daily_hydroclimate_gold.csv,source_id_snow,,19049
daily_hydroclimate_gold.csv,source_id_snow,gee_modis_mod10a1,17363
daily_hydroclimate_gold.csv,source_id_snow,old_arctic_doc_snowmelt_untrained_data,16314
daily_hydroclimate_gold.csv,source_id_runoff,,1041
daily_hydroclimate_gold.csv,source_id_runoff,gee_era5_land,47485
daily_hydroclimate_gold.csv,source_id_runoff,old_arctic_doc_snowmelt_untrained_data,4200
doc_labels_gold.csv,source_id,arcticgro_water_quality_current,547
lab_optical_proxy_gold.csv,source_id,arcticgro_absorbance_current,442
lab_optical_proxy_gold.csv,source_id,arcticgro_water_quality_current,440
optical_match_candidates_0d.csv,source_id,gee_hls_s30_l30,652
optical_match_candidates_0d.csv,source_id,gee_landsat_c2_l2,107
optical_match_candidates_0d.csv,source_id,gee_sentinel2_sr_harmonized,99
optical_match_candidates_0d.csv,source_id,old_arctic_doc_snowmelt_untrained_data,449
optical_match_candidates_1d.csv,source_id,gee_hls_s30_l30,2050
optical_match_candidates_1d.csv,source_id,gee_landsat_c2_l2,319
optical_match_candidates_1d.csv,source_id,gee_sentinel2_sr_harmonized,286
optical_match_candidates_1d.csv,source_id,old_arctic_doc_snowmelt_untrained_data,1430
optical_match_candidates_3d.csv,source_id,gee_hls_s30_l30,4858
optical_match_candidates_3d.csv,source_id,gee_landsat_c2_l2,678
optical_match_candidates_3d.csv,source_id,gee_sentinel2_sr_harmonized,670
optical_match_candidates_3d.csv,source_id,old_arctic_doc_snowmelt_untrained_data,3405
optical_match_candidates_7d.csv,source_id,gee_hls_s30_l30,10758
optical_match_candidates_7d.csv,source_id,gee_landsat_c2_l2,1402
optical_match_candidates_7d.csv,source_id,gee_sentinel2_sr_harmonized,1422
optical_match_candidates_7d.csv,source_id,old_arctic_doc_snowmelt_untrained_data,7527
optical_timeseries_gold.csv,source_id,gee_hls_s30_l30,74347
optical_timeseries_gold.csv,source_id,gee_landsat_c2_l2,6936
optical_timeseries_gold.csv,source_id,gee_sentinel2_sr_harmonized,11413
optical_timeseries_gold.csv,source_id,old_arctic_doc_snowmelt_untrained_data,49362
prediction_grid_daily_hydrocore.csv,source_id_discharge,arcticgro_discharge_current,52594
prediction_grid_daily_hydrocore.csv,source_id_hydroclimate,,1041
prediction_grid_daily_hydrocore.csv,source_id_hydroclimate,gee_era5_land,47353
prediction_grid_daily_hydrocore.csv,source_id_hydroclimate,old_arctic_doc_snowmelt_untrained_data,4200
prediction_grid_daily_with_basin_context.csv,source_id_discharge,arcticgro_discharge_current,52594
prediction_grid_daily_with_basin_context.csv,source_id_hydroclimate,,1041
prediction_grid_daily_with_basin_context.csv,source_id_hydroclimate,gee_era5_land,47353
prediction_grid_daily_with_basin_context.csv,source_id_hydroclimate,old_arctic_doc_snowmelt_untrained_data,4200
roi_catalog_gold.csv,source_id,old_arctic_doc_snowmelt_untrained_data,39
training_matrix_basin_context.csv,source_id_label,arcticgro_water_quality_current,547
training_matrix_basin_context.csv,source_id_discharge,arcticgro_discharge_current,547
training_matrix_basin_context.csv,source_id_hydroclimate,,34
training_matrix_basin_context.csv,source_id_hydroclimate,gee_era5_land,460
training_matrix_basin_context.csv,source_id_hydroclimate,old_arctic_doc_snowmelt_untrained_data,53
training_matrix_hydrocore.csv,source_id_label,arcticgro_water_quality_current,547
training_matrix_hydrocore.csv,source_id_discharge,arcticgro_discharge_current,547
training_matrix_hydrocore.csv,source_id_hydroclimate,,34
training_matrix_hydrocore.csv,source_id_hydroclimate,gee_era5_land,460
training_matrix_hydrocore.csv,source_id_hydroclimate,old_arctic_doc_snowmelt_untrained_data,53
training_matrix_optical_matched_0d.csv,source_id_optical,gee_hls_s30_l30,98
training_matrix_optical_matched_0d.csv,source_id_optical,gee_landsat_c2_l2,54
training_matrix_optical_matched_0d.csv,source_id_optical,gee_sentinel2_sr_harmonized,36
training_matrix_optical_matched_0d.csv,source_id_hydroclimate,,9
training_matrix_optical_matched_0d.csv,source_id_hydroclimate,gee_era5_land,159
training_matrix_optical_matched_0d.csv,source_id_hydroclimate,old_arctic_doc_snowmelt_untrained_data,20
training_matrix_optical_matched_1d.csv,source_id_optical,gee_hls_s30_l30,137
training_matrix_optical_matched_1d.csv,source_id_optical,gee_landsat_c2_l2,115
training_matrix_optical_matched_1d.csv,source_id_optical,gee_sentinel2_sr_harmonized,45
training_matrix_optical_matched_1d.csv,source_id_hydroclimate,,10
training_matrix_optical_matched_1d.csv,source_id_hydroclimate,gee_era5_land,252
training_matrix_optical_matched_1d.csv,source_id_hydroclimate,old_arctic_doc_snowmelt_untrained_data,35
