source_field,attribute_name,attribute_category,aggregation_method,model_use,mechanism_use,needs_area_weighted_refinement,notes
HYBAS_ID_mean,HYBAS_ID,other,simple_mean_from_upstream_subbasins,False,False,True,Curated from HydroATLAS upstream summary; ID/topology fields excluded from predictors.
NEXT_DOWN_mean,NEXT_DOWN,other,simple_mean_from_upstream_subbasins,False,False,True,Curated from HydroATLAS upstream summary; ID/topology fields excluded from predictors.
NEXT_SINK_mean,NEXT_SINK,other,simple_mean_from_upstream_subbasins,False,False,True,Curated from HydroATLAS upstream summary; ID/topology fields excluded from predictors.
MAIN_BAS_mean,MAIN_BAS,other,simple_mean_from_upstream_subbasins,False,False,True,Curated from HydroATLAS upstream summary; ID/topology fields excluded from predictors.
DIST_SINK_mean,DIST_SINK,other,simple_mean_from_upstream_subbasins,False,False,True,Curated from HydroATLAS upstream summary; ID/topology fields excluded from predictors.
DIST_MAIN_mean,DIST_MAIN,other,simple_mean_from_upstream_subbasins,False,False,True,Curated from HydroATLAS upstream summary; ID/topology fields excluded from predictors.
SUB_AREA_mean,SUB_AREA,physiography,simple_mean_from_upstream_subbasins,True,True,True,Curated from HydroATLAS upstream summary; ID/topology fields excluded from predictors.
UP_AREA_mean,UP_AREA,physiography,simple_mean_from_upstream_subbasins,True,True,True,Curated from HydroATLAS upstream summary; ID/topology fields excluded from predictors.
PFAF_ID_mean,PFAF_ID,other,simple_mean_from_upstream_subbasins,False,False,True,Curated from HydroATLAS upstream summary; ID/topology fields excluded from predictors.
ENDO_mean,ENDO,other,simple_mean_from_upstream_subbasins,False,False,True,Curated from HydroATLAS upstream summary; ID/topology fields excluded from predictors.
COAST_mean,COAST,other,simple_mean_from_upstream_subbasins,False,False,True,Curated from HydroATLAS upstream summary; ID/topology fields excluded from predictors.
ORDER__mean,ORDER,other,simple_mean_from_upstream_subbasins,False,False,True,Curated from HydroATLAS upstream summary; ID/topology fields excluded from predictors.
SORT_mean,SORT,other,simple_mean_from_upstream_subbasins,False,False,True,Curated from HydroATLAS upstream summary; ID/topology fields excluded from predictors.
dis_m3_pyr_mean,dis_m3_pyr,hydrology,simple_mean_from_upstream_subbasins,True,True,True,Curated from HydroATLAS upstream summary; ID/topology fields excluded from predictors.
dis_m3_pmn_mean,dis_m3_pmn,hydrology,simple_mean_from_upstream_subbasins,True,True,True,Curated from HydroATLAS upstream summary; ID/topology fields excluded from predictors.
dis_m3_pmx_mean,dis_m3_pmx,hydrology,simple_mean_from_upstream_subbasins,True,True,True,Curated from HydroATLAS upstream summary; ID/topology fields excluded from predictors.
run_mm_syr_mean,run_mm_syr,hydrology,simple_mean_from_upstream_subbasins,True,True,True,Curated from HydroATLAS upstream summary; ID/topology fields excluded from predictors.
inu_pc_smn_mean,inu_pc_smn,hydrology,simple_mean_from_upstream_subbasins,True,True,True,Curated from HydroATLAS upstream summary; ID/topology fields excluded from predictors.
inu_pc_umn_mean,inu_pc_umn,hydrology,simple_mean_from_upstream_subbasins,True,True,True,Curated from HydroATLAS upstream summary; ID/topology fields excluded from predictors.
inu_pc_smx_mean,inu_pc_smx,hydrology,simple_mean_from_upstream_subbasins,True,True,True,Curated from HydroATLAS upstream summary; ID/topology fields excluded from predictors.
inu_pc_umx_mean,inu_pc_umx,hydrology,simple_mean_from_upstream_subbasins,True,True,True,Curated from HydroATLAS upstream summary; ID/topology fields excluded from predictors.
inu_pc_slt_mean,inu_pc_slt,hydrology,simple_mean_from_upstream_subbasins,True,True,True,Curated from HydroATLAS upstream summary; ID/topology fields excluded from predictors.
inu_pc_ult_mean,inu_pc_ult,hydrology,simple_mean_from_upstream_subbasins,True,True,True,Curated from HydroATLAS upstream summary; ID/topology fields excluded from predictors.
