river,source_field,exclusion_reason,notes
Ob,HYBAS_ID_mean,id_or_topology_field,Identifier/topology field kept out of predictors.
Ob,NEXT_DOWN_mean,id_or_topology_field,Identifier/topology field kept out of predictors.
Ob,NEXT_SINK_mean,id_or_topology_field,Identifier/topology field kept out of predictors.
Ob,MAIN_BAS_mean,id_or_topology_field,Identifier/topology field kept out of predictors.
Ob,PFAF_ID_mean,id_or_topology_field,Identifier/topology field kept out of predictors.
Ob,SORT_mean,id_or_topology_field,Identifier/topology field kept out of predictors.
Yenisey,HYBAS_ID_mean,id_or_topology_field,Identifier/topology field kept out of predictors.
Yenisey,NEXT_DOWN_mean,id_or_topology_field,Identifier/topology field kept out of predictors.
Yenisey,NEXT_SINK_mean,id_or_topology_field,Identifier/topology field kept out of predictors.
Yenisey,MAIN_BAS_mean,id_or_topology_field,Identifier/topology field kept out of predictors.
Yenisey,PFAF_ID_mean,id_or_topology_field,Identifier/topology field kept out of predictors.
Yenisey,SORT_mean,id_or_topology_field,Identifier/topology field kept out of predictors.
Lena,HYBAS_ID_mean,id_or_topology_field,Identifier/topology field kept out of predictors.
Lena,NEXT_DOWN_mean,id_or_topology_field,Identifier/topology field kept out of predictors.
Lena,NEXT_SINK_mean,id_or_topology_field,Identifier/topology field kept out of predictors.
Lena,MAIN_BAS_mean,id_or_topology_field,Identifier/topology field kept out of predictors.
Lena,PFAF_ID_mean,id_or_topology_field,Identifier/topology field kept out of predictors.
Lena,SORT_mean,id_or_topology_field,Identifier/topology field kept out of predictors.
Kolyma,HYBAS_ID_mean,id_or_topology_field,Identifier/topology field kept out of predictors.
Kolyma,NEXT_DOWN_mean,id_or_topology_field,Identifier/topology field kept out of predictors.
Kolyma,NEXT_SINK_mean,id_or_topology_field,Identifier/topology field kept out of predictors.
Kolyma,MAIN_BAS_mean,id_or_topology_field,Identifier/topology field kept out of predictors.
Kolyma,PFAF_ID_mean,id_or_topology_field,Identifier/topology field kept out of predictors.
Kolyma,SORT_mean,id_or_topology_field,Identifier/topology field kept out of predictors.
Yukon,HYBAS_ID_mean,id_or_topology_field,Identifier/topology field kept out of predictors.
Yukon,NEXT_DOWN_mean,id_or_topology_field,Identifier/topology field kept out of predictors.
Yukon,NEXT_SINK_mean,id_or_topology_field,Identifier/topology field kept out of predictors.
Yukon,MAIN_BAS_mean,id_or_topology_field,Identifier/topology field kept out of predictors.
Yukon,PFAF_ID_mean,id_or_topology_field,Identifier/topology field kept out of predictors.
Yukon,SORT_mean,id_or_topology_field,Identifier/topology field kept out of predictors.
Mackenzie,HYBAS_ID_mean,id_or_topology_field,Identifier/topology field kept out of predictors.
Mackenzie,NEXT_DOWN_mean,id_or_topology_field,Identifier/topology field kept out of predictors.
Mackenzie,NEXT_SINK_mean,id_or_topology_field,Identifier/topology field kept out of predictors.
Mackenzie,MAIN_BAS_mean,id_or_topology_field,Identifier/topology field kept out of predictors.
Mackenzie,PFAF_ID_mean,id_or_topology_field,Identifier/topology field kept out of predictors.
Mackenzie,SORT_mean,id_or_topology_field,Identifier/topology field kept out of predictors.
